https://spaceweather.gc.ca/solar_flux_data/daily_flux_values/fluxtable.txt

fluxdate    fluxtime    fluxjulian    fluxcarrington  fluxobsflux  fluxadjflux  fluxursi  
----------  ----------  ------------  --------------  -----------  -----------  ----------


20250421    170000      2460787.197   2296.84         0160.0       0161.6       0145.5    
20250421    200000      2460787.322   2296.853        0163.0       0164.6       0148.1    
20250421    230000      2460787.447   2296.85         0158.9       0160.6       0144.5    
20250422    170000      2460788.197   2296.88         0161.9       0163.6       0147.2    
20250422    200000      2460788.322   2296.88         0163.4       0165.1       0148.6    
20250422    230000      2460788.447   2296.89         0162.4       0164.2       0147.8    
20250423    170000      2460789.197   2296.91         0165.4       0167.3       0150.5    
20250423    200000      2460789.322   2296.92         0167.7       0169.6       0152.7    
20250423    230000      2460789.447   2296.92         0168.8       0170.7       0153.7    
20250424    170000      2460790.197   2296.95         0169.2       0171.2       0154.0    
20250424    200000      2460790.322   2296.96         0169.6       0171.6       0154.5    
20250424    230000      2460790.447   2296.96         0169.0       0171.0       0153.9    
20250425    170000      2460791.197   2296.99         0164.2       0166.2       0149.6    
20250425    200000      2460791.322   2296.99         0164.0       0166.0       0149.4    
20250425    230000      2460791.447   2297.00         0164.3       0166.4       0149.7    
20250426    170000      2460792.197   2297.02         0154.0       0156.0       0140.4    
20250426    200000      2460792.322   2297.03         0155.7       0157.7       0142.0    
20250426    230000      2460792.447   2297.03         0155.7       0157.7       0141.9    
20250427    170000      2460793.197   2297.06         0153.2       0155.2       0139.7    
20250427    200000      2460793.322   2297.07         0155.7       0157.8       0142.0    
20250427    230000      2460793.447   2297.07         0154.1       0156.2       0140.6    
20250428    170000      2460794.197   2297.10         0153.7       0155.9       0140.3    
20250428    200000      2460794.322   2297.10         0153.6       0155.7       0140.2    
20250428    230000      2460794.447   2297.11         0152.8       0154.9       0139.4    
20250429    170000      2460795.197   2297.13         0149.8       0152.0       0136.8    
20250429    200000      2460795.322   2297.14         0149.2       0151.3       0136.2    
20250429    230000      2460795.447   2297.14         0150.4       0152.5       0137.3    
20250430    170000      2460796.197   2297.17         0149.3       0151.5       0136.4    
20250430    200000      2460796.322   2297.18         0148.0       0150.2       0135.2    
20250430    230000      2460796.447   2297.18         0147.1       0149.3       0134.4    
20250501    170000      2460797.197   2297.21         0150.4       0152.7       0137.5    
20250501    200000      2460797.322   2297.21         0152.3       0154.7       0139.2    
20250501    230000      2460797.447   2297.22         0152.0       0154.4       0138.9    
20250502    170000      2460798.197   2297.24         0150.6       0153.0       0137.7    
20250502    200000      2460798.322   2297.25         0152.3       0154.7       0139.2    
20250502    230000      2460798.447   2297.25         0152.8       0155.3       0139.8    
20250503    170000      2460799.197   2297.28         0151.6       0154.0       0138.6    
20250503    200000      2460799.322   2297.29         0152.1       0154.6       0139.1    
20250503    230000      2460799.447   2297.29         0150.0       0152.5       0137.3    
20250504    170000      2460800.197   2297.32         0157.9       0160.6       0144.5    
20250504    200000      2460800.322   2297.32         0159.0       0161.6       0145.5    
20250504    230000      2460800.447   2297.33         0156.5       0159.1       0143.2    
20250505    170000      2460801.197   2297.361        0159.9       0162.7       0146.4    
20250505    200000      2460801.322   2297.36         0158.6       0161.4       0145.2    
20250505    230000      2460801.447   2297.36         0158.7       0161.5       0145.3  
