https://www.obsebre.es/ca/dades-solars 
Dades solars

Nombre de Wolf mitjà mensual enregistrat a l'Observatori de l'Ebre.

El Nombre de Wolf (W) es calcula en base al nombre de grups (G) i taques (t) (W=10 G + t). Aquesta fórmula indica que l'aparició d’un grup coherent de taques (una regió activa) és molt més important que afegir unes taques més a un grup ja existent. 
ANY 	GEN 	FEB 	MAR 	ABR 	MAI 	JUN 	JUL 	AGO 	SET 	OCT 	NOV 	DES
1943 	15.5 	29.3 	32.0 	32.1 	15.7 	8.2 	12.3 	22.1 	10.2 	6.4 	11.8 	16.8
1944 	4.3 	0.9 	13.2 	0.0 	0.5 	5.4 	4.0 	21.8 	14.6 	20.5 	16.1 	32.9
1945 	21.2 	16.5 	23.2 	35.0 	33.4 	47.1 	48.8 	31.1 	36.8 	80.0 	58.0 	29.4
1946 	60.7 	108.0 	98.5 	95.1 	109.2 	96.7 	147.5 	143.3 	121.9 	116.5 	147.7 	124.4
1947 	134.5 	148.8 	149.5 	159.1 	207.3 	163.3 	153.9 	186.3 	169.1 	179.2 	160.4 	123.0
1948 	117.2 	106.1 	104.3 	198.5 	147.8 	144.5 	124.7 	151.0 	134.9 	125.0 	92.4 	120.8
1949 	115.8 	167.5 	153.4 	151.8 	117.3 	120.9 	120.1 	124.4 	138.9 	137.1 	143.8 	116.3
1950 	104.8 	84.8 	122.5 	103.4 	119.7 	77.3 	82.0 	85.1 	53.9 	68.1 	58.2 	52.3
1951 	49.1 	65.4 	60.9 	86.9 	93.1 	82.0 	57.9 	51.7 	84.3 	57.7 	69.2 	48.6
1952 	46.8 	28.9 	27.8 	30.7 	31.8 	46.0 	46.3 	63.2 	31.9 	25.2 	19.6 	32.9
1953 	27.1 	5.0 	13.4 	24.7 	12.0 	25.0 	8.6 	27.3 	19.2 	10.7 	3.5 	3.9
1954 	1.5 	0.4 	8.7 	1.8 	0.5 	0.0 	5.4 	10.9 	3.0 	9.9 	12.5 	11.8
1955 	26.8 	25.4 	7.9 	18.0 	33.4 	34.9 	37.5 	50.0 	56.0 	56.6 	100.5 	81.1
